Application:, Trigno Discover (1.7.0)
Date/Time:, 11/4/2024 10:23:56 AM
Collection Length (seconds):, 12.1365
Avanti Sensor 0 (64624), , Avanti Sensor 2 (64680)
sensor mode: 40, , sensor mode: 609
EMG 1 Time Series (s), EMG 1 (mV), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 2148.1481 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz
0.0148966, -0.0095674, 0.0864, 0.4370117, 0.0864, -0.6606445, 0.0864, 0.4946289, 0.0864, -1.402439, 0.0864, 5.1829271, 0.0864, -17.1951218
0.0153621, -0.012253, 0.0891, 0.4355469, 0.0891, -0.6655273, 0.0891, 0.4956055, 0.0891, -1.3414634, 0.0891, 4.6951222, 0.0891, -17.1341476
0.0158276, -0.012253, 0.0918, 0.4458008, 0.0918, -0.6816406, 0.0918, 0.5, 0.0918, -1.5243902, 0.0918, 5.3658538, 0.0918, -17.0121956
0.0162931, -0.008896, 0.0945, 0.4663086, 0.0945, -0.7001953, 0.0945, 0.5083008, 0.0945, -1.7073171, 0.0945, 5.670732, 0.0945, -17.0121956
0.0167586, -0.0065461, 0.0972, 0.4726562, 0.0972, -0.7089844, 0.0972, 0.5117188, 0.0972, -1.8292683, 0.0972, 7.7439027, 0.0972, -16.8902435
0.0172241, -0.0068818, 0.0999, 0.4907227, 0.0999, -0.7255859, 0.0999, 0.5209961, 0.0999, -2.1341465, 0.0999, 8.2317076, 0.0999, -17.3170738
0.0176897, -0.0095674, 0.1026, 0.4951172, 0.1026, -0.7358398, 0.1026, 0.5244141, 0.1026, -2.195122, 0.1026, 9.6951218, 0.1026, -17.0121956
0.0181552, -0.012253, 0.1053, 0.5083008, 0.1053, -0.7602539, 0.1053, 0.5283203, 0.1053, -2.3780489, 0.1053, 10.6097565, 0.1053, -16.7073174
0.0186207, -0.0127565, 0.108, 0.5151367, 0.108, -0.7680664, 0.108, 0.5307617, 0.108, -3.7195122, 0.108, 13.1707315, 0.108, -16.1585369
0.0190862, -0.0125887, 0.1107, 0.5258789, 0.1107, -0.7856445, 0.1107, 0.5292969, 0.1107, -4.2073174, 0.1107, 14.4512196, 0.1107, -15.3658543
0.0195517, -0.012253, 0.1134, 0.5283203, 0.1134, -0.7915039, 0.1134, 0.534668, 0.1134, -4.9390244, 0.1134, 17.6219521, 0.1134, -14.3902445
0.0200172, -0.0107424, 0.1161, 0.5297852, 0.1161, -0.8115234, 0.1161, 0.5366211, 0.1161, -5.3658538, 0.1161, 18.9634151, 0.1161, -13.3536587
0.0204828, -0.0105745, 0.1188, 0.53125, 0.1188, -0.8173828, 0.1188, 0.5351562, 0.1188, -6.4024391, 0.1188, 22.1341476, 0.1188, -12.1951218
0.0209483, -0.0109102, 0.1215, 0.5371094, 0.1215, -0.8227539, 0.1215, 0.5336914, 0.1215, -7.3170733, 0.1215, 24.0853672, 0.1215, -11.1585369
0.0214138, -0.0119173, 0.1242, 0.5380859, 0.1242, -0.8300781, 0.1242, 0.5380859, 0.1242, -7.5, 0.1242, 24.9390259, 0.1242, -10.8536587
0.0218793, -0.011078, 0.1269, 0.5405273, 0.1269, -0.8457031, 0.1269, 0.5454102, 0.1269, -7.5609756, 0.1269, 26.4634151, 0.1269, -10
0.0223448, -0.0117494, 0.1296, 0.5380859, 0.1296, -0.8452148, 0.1296, 0.5473633, 0.1296, -7.3780489, 0.1296, 27.0121956, 0.1296, -9.5731707
0.0228103, -0.0129244, 0.1323, 0.5351562, 0.1323, -0.8515625, 0.1323, 0.5532227, 0.1323, -7.3170733, 0.1323, 27.9878063, 0.1323, -9.3902445
0.0232759, -0.0137636, 0.135, 0.5327148, 0.135, -0.8515625, 0.135, 0.5556641, 0.135, -7.5609756, 0.135, 28.0487804, 0.135, -9.0243902
0.0237414, -0.0151064, 0.1377, 0.5307617, 0.1377, -0.8481445, 0.1377, 0.5576172, 0.1377, -7.6219516, 0.1377, 28.5975609, 0.1377, -9.0243902
0.0242069, -0.0152743, 0.1404, 0.5249023, 0.1404, -0.8374023, 0.1404, 0.5551758, 0.1404, -7.8048782, 0.1404, 28.6585369, 0.1404, -8.719512
0.0246724, -0.01561, 0.1431, 0.5209961, 0.1431, -0.8374023, 0.1431, 0.5517578, 0.1431, -8.2317076, 0.1431, 29.1463413, 0.1431, -8.841464
0.0251379, -0.01561, 0.1458, 0.5205078, 0.1458, -0.8222656, 0.1458, 0.5537109, 0.1458, -8.0487804, 0.1458, 29.8170738, 0.1458, -8.5365858
0.0256034, -0.0146029, 0.1485, 0.5239258, 0.1485, -0.8178711, 0.1485, 0.5527344, 0.1485, -7.8658538, 0.1485, 30.6097565, 0.1485, -8.1707315
0.026069, -0.0149386, 0.1512, 0.5283203, 0.1512, -0.8037109, 0.1512, 0.5429688, 0.1512, -7.9268293, 0.1512, 30.7926846, 0.1512, -8.4756098
0.0265345, -0.0142672, 0.1539, 0.53125, 0.1539, -0.7944336, 0.1539, 0.5410156, 0.1539, -7.8658538, 0.1539, 30.9756107, 0.1539, -9.0243902
0.027, -0.0135958, 0.1566, 0.5385742, 0.1566, -0.7832031, 0.1566, 0.5400391, 0.1566, -7.9878049, 0.1566, 30.5487804, 0.1566, -9.2073174
0.0274655, -0.0127565, 0.1593, 0.5380859, 0.1593, -0.7763672, 0.1593, 0.5375977, 0.1593, -7.9878049, 0.1593, 29.7560978, 0.1593, -9.2682924
0.027931, -0.0125887, 0.162, 0.5351562, 0.162, -0.7695312, 0.162, 0.53125, 0.162, -7.9268293, 0.162, 29.0243912, 0.162, -9.5731707
0.0283966, -0.012253, 0.1647, 0.5366211, 0.1647, -0.7666016, 0.1647, 0.5351562, 0.1647, -7.5609756, 0.1647, 27.1951218, 0.1647, -9.5121956
0.0288621, -0.0112459, 0.1674, 0.5327148, 0.1674, -0.7597656, 0.1674, 0.5390625, 0.1674, -7.3170733, 0.1674, 26.0975609, 0.1674, -9.8170738
0.0293276, -0.0097353, 0.1701, 0.5375977, 0.1701, -0.7548828, 0.1701, 0.5385742, 0.1701, -6.9512196, 0.1701, 25.7317085, 0.1701, -9.8170738
0.0297931, -0.0082246, 0.1728, 0.5454102, 0.1728, -0.7441406, 0.1728, 0.5375977, 0.1728, -6.1585369, 0.1728, 24.9390259, 0.1728, -10.060976
0.0302586, -0.0062104, 0.1755, 0.5444336, 0.1755, -0.7353516, 0.1755, 0.5341797, 0.1755, -5.7926831, 0.1755, 24.5731716, 0.1755, -10.4268293
0.0307241, -0.0040284, 0.1782, 0.5444336, 0.1782, -0.7236328, 0.1782, 0.5307617, 0.1782, -4.6341462, 0.1782, 24.0243912, 0.1782, -11.1585369
0.0311897, -0.0030213, 0.1809, 0.5405273, 0.1809, -0.7216797, 0.1809, 0.53125, 0.1809, -3.7195122, 0.1809, 23.6585369, 0.1809, -11.4634151
0.0316552, -0.005539, 0.1836, 0.5371094, 0.1836, -0.7109375, 0.1836, 0.5292969, 0.1836, -3.1707318, 0.1836, 23.4146347, 0.1836, -12.0731707
0.0321207, -0.0070497, 0.1863, 0.5410156, 0.1863, -0.6967773, 0.1863, 0.5297852, 0.1863, -2.9878049, 0.1863, 23.5365868, 0.1863, -12.2560978
0.0325862, -0.0057069, 0.189, 0.5332031, 0.189, -0.6948242, 0.189, 0.5327148, 0.189, -1.7073171, 0.189, 23.5975609, 0.189, -12.7439032
0.0330517, -0.005539, 0.1917, 0.5234375, 0.1917, -0.6855469, 0.1917, 0.5375977, 0.1917, -1.1585366, 0.1917, 23.6585369, 0.1917, -12.8048782
0.0335172, -0.0065461, 0.1944, 0.5180664, 0.1944, -0.6811523, 0.1944, 0.5390625, 0.1944, -0.1829268, 0.1944, 22.5, 0.1944, -12.9878054
0.0339828, -0.0085603, 0.1971, 0.5092773, 0.1971, -0.6743164, 0.1971, 0.5415039, 0.1971, 0.3048781, 0.1971, 22.2560978, 0.1971, -13.1097565
0.0344483, -0.0092317, 0.1998, 0.5102539, 0.1998, -0.671875, 0.1998, 0.5449219, 0.1998, 0.3658537, 0.1998, 21.2195129, 0.1998, -13.1097565
0.0349138, -0.0109102, 0.2025, 0.5083008, 0.2025, -0.671875, 0.2025, 0.5483398, 0.2025, 0.2439024, 0.2025, 21.3414631, 0.2025, -13.1707315
0.0353793, -0.012253, 0.2052, 0.5048828, 0.2052, -0.6723633, 0.2052, 0.550293, 0.2052, 0.9146342, 0.2052, 21.7682934, 0.2052, -13.2926836
0.0358448, -0.0117494, 0.2079, 0.515625, 0.2079, -0.6655273, 0.2079, 0.5527344, 0.2079, 1.2804878, 0.2079, 21.9512196, 0.2079, -13.1097565
0.0363103, -0.0102388, 0.2106, 0.5151367, 0.2106, -0.6650391, 0.2106, 0.5483398, 0.2106, 2.3170731, 0.2106, 22.6829281, 0.2106, -13.2926836
0.0367759, -0.008896, 0.2133, 0.527832, 0.2133, -0.6586914, 0.2133, 0.546875, 0.2133, 2.5, 0.2133, 24.3292694, 0.2133, -13.1707315
0.0372414, -0.008896, 0.216, 0.5317383, 0.216, -0.6557617, 0.216, 0.5415039, 0.216, 2.2560976, 0.216, 24.5731716, 0.216, -13.5975609
0.0377069, -0.008896, 0.2187, 0.5297852, 0.2187, -0.65625, 0.2187, 0.5410156, 0.2187, 2.6829269, 0.2187, 25.2439022, 0.2187, -13.5975609
0.0381724, -0.0075532, 0.2214, 0.5249023, 0.2214, -0.6591797, 0.2214, 0.5380859, 0.2214, 2.6829269, 0.2214, 25.2439022, 0.2214, -13.4146347
0.0386379, -0.0075532, 0.2241, 0.5117188, 0.2241, -0.6621094, 0.2241, 0.5419922, 0.2241, 2.804878, 0.2241, 25.2439022, 0.2241, -12.6219511
0.0391034, -0.010071, 0.2268, 0.5058594, 0.2268, -0.6557617, 0.2268, 0.5424805, 0.2268, 2.8658538, 0.2268, 25, 0.2268, -11.8902445
0.039569, -0.0109102, 0.2295, 0.4960938, 0.2295, -0.6547852, 0.2295, 0.5361328, 0.2295, 2.6829269, 0.2295, 24.9390259, 0.2295, -10.9146347
0.0400345, -0.0095674, 0.2322, 0.4833984, 0.2322, -0.6557617, 0.2322, 0.5361328, 0.2322, 2.6829269, 0.2322, 24.4512196, 0.2322, -10.4268293
0.0405, -0.0085603, 0.2349, 0.4790039, 0.2349, -0.6547852, 0.2349, 0.5356445, 0.2349, 2.7439024, 0.2349, 23.6585369, 0.2349, -9.8170738
0.0409655, -0.0073854, 0.2376, 0.4765625, 0.2376, -0.6538086, 0.2376, 0.5351562, 0.2376, 2.9268293, 0.2376, 22.9268303, 0.2376, -9.2073174
0.041431, -0.0119173, 0.2403, 0.4785156, 0.2403, -0.6547852, 0.2403, 0.5332031, 0.2403, 2.6829269, 0.2403, 22.6219521, 0.2403, -8.719512
0.0418966, -0.0305486, 0.243, 0.4824219, 0.243, -0.6494141, 0.243, 0.5283203, 0.243, 2.7439024, 0.243, 22.560976, 0.243, -8.5365858
0.0423621, -0.0488441, 0.2457, 0.4829102, 0.2457, -0.6508789, 0.2457, 0.5292969, 0.2457, 3.0487804, 0.2457, 22.2560978, 0.2457, -8.719512
0.0428276, -0.0542153, 0.2484, 0.4863281, 0.2484, -0.6542969, 0.2484, 0.5288086, 0.2484, 3.0487804, 0.2484, 22.1951218, 0.2484, -8.4146347
0.0432931, -0.0496834, 0.2511, 0.4833984, 0.2511, -0.659668, 0.2511, 0.53125, 0.2511, 3.2317073, 0.2511, 22.3780499, 0.2511, -8.2317076
0.0437586, -0.0402838, 0.2538, 0.484375, 0.2538, -0.6552734, 0.2538, 0.53125, 0.2538, 3.1707318, 0.2538, 23.0487804, 0.2538, -7.9878049
0.0442241, -0.0273594, 0.2565, 0.4848633, 0.2565, -0.6538086, 0.2565, 0.5302734, 0.2565, 3.3536587, 0.2565, 23.2317085, 0.2565, -7.6829271
0.0446897, -0.0070497, 0.2592, 0.480957, 0.2592, -0.6523438, 0.2592, 0.5302734, 0.2592, 2.804878, 0.2592, 23.2317085, 0.2592, -7.8048782
0.0451552, 0.0166171, 0.2619, 0.4814453, 0.2619, -0.6479492, 0.2619, 0.5273438, 0.2619, 2.8658538, 0.2619, 22.9878063, 0.2619, -7.6219516
0.0456207, 0.0297093, 0.2646, 0.4760742, 0.2646, -0.6474609, 0.2646, 0.5317383, 0.2646, 2.2560976, 0.2646, 22.5, 0.2646, -7.1951222
0.0460862, 0.030045, 0.2673, 0.4760742, 0.2673, -0.6430664, 0.2673, 0.5288086, 0.2673, 1.9512196, 0.2673, 21.9512196, 0.2673, -7.0121951
0.0465517, 0.0270237, 0.27, 0.4702148, 0.27, -0.6416016, 0.27, 0.5283203, 0.27, 0.7926829, 0.27, 21.4024391, 0.27, -6.5243902
0.0470172, 0.0260166, 0.2727, 0.4702148, 0.2727, -0.6357422, 0.2727, 0.5332031, 0.2727, 0.4268293, 0.2727, 21.3414631, 0.2727, -6.280488
0.0474828, 0.026688, 0.2754, 0.4638672, 0.2754, -0.6342773, 0.2754, 0.5356445, 0.2754, 0.4878049, 0.2754, 20.3658543, 0.2754, -5.7926831
0.0479483, 0.0253452, 0.2781, 0.4575195, 0.2781, -0.6269531, 0.2781, 0.5415039, 0.2781, 0.4878049, 0.2781, 19.7560978, 0.2781, -5.4878049
